0&0  &SILENCE
0&1  &SPEECH
0&2  &SILENCE
0&3  &SPEECH
0&4  &SILENCE
0&5  &SPEECH
0&6  &SILENCE
0&7  &SPEECH
0&8  &SILENCE
0&9  &SPEECH
1&0  &SILENCE
1&1  &SPEECH
1&2  &SILENCE
1&3  &SPEECH
1&4  &SILENCE
1&5  &SPEECH
1&6  &SILENCE
1&7  &SPEECH
1&8  &SILENCE
1&9  &SPEECH
2&0  &SILENCE
2&1  &SPEECH
2&2  &SILENCE
2&3  &SPEECH
2&4  &SILENCE
2&5  &SILENCE
2&6  &SILENCE
2&7  &SPEECH
2&8  &SILENCE
2&9  &SPEECH
3&0  &SILENCE
3&1  &SILENCE
3&2  &SILENCE
3&3  &SPEECH
3&4  &SILENCE
3&5  &SPEECH
3&6  &SILENCE
3&7  &SPEECH
3&8  &SILENCE
3&9  &SPEECH
4&0  &SILENCE
4&1  &SPEECH
4&2  &SILENCE
4&3  &SPEECH
4&4  &SILENCE
4&5  &SILENCE
4&6  &SILENCE
4&7  &SPEECH
4&8  &SILENCE
4&9  &SPEECH
5&0  &SILENCE
5&1  &SPEECH
5&2  &SILENCE
5&3  &SILENCE
5&4  &SILENCE
5&5  &SPEECH
5&6  &SILENCE
5&7  &SPEECH
5&8  &SILENCE
5&9  &SPEECH
6&0  &SILENCE
6&1  &SPEECH
6&2  &SILENCE
6&3  &SPEECH
6&4  &SILENCE
6&5  &SPEECH
6&6  &SILENCE
6&7  &SPEECH
6&8  &SILENCE
6&9  &SPEECH
7&0  &SILENCE
7&1  &SPEECH
7&2  &SILENCE
7&3  &SPEECH
7&4  &SILENCE
7&5  &SPEECH
7&6  &SILENCE
7&7  &SILENCE
7&8  &SILENCE
7&9  &SILENCE
8&0  &SILENCE
8&1  &SPEECH
8&2  &SILENCE
8&3  &SPEECH
8&4  &SILENCE
8&5  &SPEECH
8&6  &SILENCE
8&7  &SPEECH
8&8  &SILENCE
8&9  &SPEECH
9&0  &SILENCE
9&1  &SPEECH
9&2  &SILENCE
9&3  &SPEECH
9&4  &SILENCE
9&5  &SPEECH
9&6  &SILENCE
9&7  &SPEECH
9&8  &SILENCE
9&9  &SPEECH
